title,details,description,link
Introduction to Image Generation,No details available,"
This course introduces diffusion models, a family of machine learning models that recently showed promise in the image generation space. Diffusion models draw inspiration from physics, specifically thermodynamics. Within the last few years, diffusion models became popular in both research...
",https://www.cloudskillsboost.google/
Attention Mechanism,No details available,"
This course will introduce you to the attention mechanism, a powerful technique that allows neural networks to focus on specific parts of an input sequence. You will learn how attention works, and how it can be used to improve the...
",https://www.cloudskillsboost.google/
Encoder-Decoder Architecture,No details available,"
This course gives you a synopsis of the encoder-decoder architecture, which is a powerful and prevalent machine learning architecture for sequence-to-sequence tasks such as machine translation, text summarization, and question answering. You learn about the main components of the encoder-decoder...
",https://www.cloudskillsboost.google/
Transformer Models and BERT Model,No details available,"
This course introduces you to the Transformer architecture and the Bidirectional Encoder Representations from Transformers (BERT) model. You learn about the main components of the Transformer architecture, such as the self-attention mechanism, and how it is used to build the...
",https://www.cloudskillsboost.google/
Create Image Captioning Models,No details available,"
This course teaches you how to create an image captioning model by using deep learning. You learn about the different components of an image captioning model, such as the encoder and decoder, and how to train and evaluate your model....
",https://www.cloudskillsboost.google/
Introduction to Vertex AI Studio,No details available,"
This course introduces Vertex AI Studio, a tool for prototyping and customizing generative AI models. Through immersive lessons, engaging demos, and a hands-on lab, you'll explore the generative AI workflow and learn how to leverage Vertex AI Studio for Gemini...
",https://www.cloudskillsboost.google/
Vector Search and Embeddings,No details available,"
This course introduces Vertex AI Vector Search and describes how it can be used to build a search application with large language model (LLM) APIs for embeddings. The course consists of conceptual lessons on vector search and text embeddings, practical...
",https://www.cloudskillsboost.google/
Inspect Rich Documents with Gemini Multimodality and Multimodal RAG,No details available,"
Complete the intermediate Inspect Rich Documents with Gemini Multimodality and Multimodal RAG skill badge to demonstrate skills in the following: using multimodal prompts to extract information from text and visual data, generating a video description, and retrieving extra information beyond...
",https://www.cloudskillsboost.google/
Responsible AI for Developers: Fairness & Bias,No details available,"
This course introduces concepts of responsible AI and AI principles. It covers techniques to practically identify fairness and bias and mitigate bias in AI/ML practices. It explores practical methods and tools to implement Responsible AI best practices using Google Cloud...
",https://www.cloudskillsboost.google/
Responsible AI for Developers: Interpretability & Transparency,No details available,"
This course introduces concepts of AI interpretability and transparency. It discusses the importance of AI transparency for developers and engineers. It explores practical methods and tools to help achieve interpretability and transparency in both data and AI models. 
",https://www.cloudskillsboost.google/
Responsible AI for Developers: Privacy & Safety,No details available,"
This course introduces important topics of AI privacy and safety. It explores practical methods and tools to implement AI privacy and safety recommended practices through the use of Google Cloud products and open-source tools.
",https://www.cloudskillsboost.google/
Machine Learning Operations (MLOps)  for Generative AI ,No details available,"
This course is dedicated to equipping you with the knowledge and tools needed to uncover the unique challenges faced by MLOps teams when deploying and managing Generative AI models, and exploring how Vertex AI empowers AI teams to streamline MLOps...
",https://www.cloudskillsboost.google/
